comment,cleaned_comment
"12:03 I'm sorry, that one person laughing tho 😂",im sorry one person laughing tho
"Can't believe 11 years later, this hits me hard as I am judging exactly the same condition, whether to stay or to move. Thank you.",cant believe year later hit hard judging exactly condition whether stay move thank
"You had me at “who to marry!” Using the idea of choosing between two people to marry to teach about hard decision makes for a dreadful, and terrible Ted Talk!",marry using idea choosing two people marry teach hard decision make dreadful terrible ted talk
Thanks,thanks
Great video,great video
This is an exceptionally good and helpful video. Im currently practicing media minimalism and I think this advice will now shape how I make decisions my entire life :),exceptionally good helpful video im currently practicing medium minimalism think advice shape make decision entire life
Grateful!,grateful
"Não escolher já e', em si, uma escolha.",escolher j e em si uma escolha
that's a lot of words for saying nothing,thats lot word saying nothing
I'm so glad I've found this video. I'm so stuck trying to decide between two career choices and this has helped immensely,im glad ive found video im stuck trying decide two career choice helped immensely
"Fabulous talk, and fabulous comments section! Between the talk itself and the brilliant discussions in the comments - I'm feeling better equipped to make the decisions ahead, and less alone!! Thank you!",fabulous talk fabulous comment section talk brilliant discussion comment im feeling better equipped make decision ahead less alone thank
Wow that was super unhelpful and a waste of time!,wow super unhelpful waste time
"okay I got to to know a thing or two, but honestly, it is not something that I don't know.  I learned it the hard what if I don't know what person I am to become and I have created opinions regarding both the alternatives?",okay got know thing two honestly something dont know learned hard dont know person become created opinion regarding alternative
"In a very hard choice making scenario
Thanks for the lovely video",hard choice making scenario thanks lovely video
Im watching this right now weather i quit my 9 to 5 job or persue my passion as a full time artist. Im stock in analysis paralysis right now and what are the consequences if i quit. I dont have much time left since i need to give 1 month notice for my decision. But i know god is leading me into something good. I decided the hard way,im watching right weather quit job persue passion full time artist im stock analysis paralysis right consequence quit dont much time left since need give month notice decision know god leading something good decided hard way
"1. Use your negetiv emotions to achieve your goals.
2. You must have control over your life.
3. Stop focus on big goals instead  of progress.
4. Don't consume content instead start taking actions.
5. Think Big , achive big - You should set realistic goals 
6. Take small steps to achieve Big goals.

Thanks bhaiya ❤",use negetiv emotion achieve goal must control life stop focus big goal instead progress dont consume content instead start taking action think big achive big set realistic goal take small step achieve big goal thanks bhaiya
"I just want to say, that, as a millennial, the question ""Do I donate my life savings to charity?"" is maybe the least relatable question I've ever heard in my entire life.",want say millennial question donate life saving charity maybe least relatable question ive ever heard entire life
"I've always been a drifter all my life, no more.",ive always drifter life
"Sadly, I feel Dr. Chang lacked compassion for her younger self. Choosing to become a lawyer reflected her value for security at the time, and it didn't mean she was a drifter. Her change in circumstances may have altered her perspective, but it doesn't invalidate her past choices, which were also made with autonomy. Perhaps her success as a philosopher made it harder for her to empathise with her younger, more vulnerable self.
It's important to remember that not everyone has the same privilege to follow their dreams.",sadly feel dr chang lacked compassion younger self choosing become lawyer reflected value security time didnt mean drifter change circumstance may altered perspective doesnt invalidate past choice also made autonomy perhaps success philosopher made harder empathise younger vulnerable self important remember everyone privilege follow dream
"""when we create reasons for ourselves to become this kind of person rather than that. we wholeheartedly become the people that we are"" But what are the bases for creating reasons to become a banker rather than to become an artist, say? Don't I need to know myself, know my values? If there is a better or worse or equally good answer to this question about who I am or what my values are, then isn't it not a hard choice anymore? (And if this is a wrong question to ask since there is no ""self"" and we can create ourselves ex nihilo, then there is nothing wrong with being a drifter.) Perhaps what defines hard choices is not that the options are on a par, but that the yardstick to compare the options is unclear - the person does not know herself or her values (well enough).",create reason become kind person rather wholeheartedly become people base creating reason become banker rather become artist say dont need know know value better worse equally good answer question value isnt hard choice anymore wrong question ask since self create ex nihilo nothing wrong drifter perhaps defines hard choice option par yardstick compare option unclear person know value well enough
"Your effort and dedication can make any decision work out. I tell myself that there is no wrong decision—I have the power to make it the right one. I can create a successful and happy path, no matter which choice I make.",effort dedication make decision work tell wrong decisioni power make right one create successful happy path matter choice make
