comment,cleaned_comment,label
Thanks,thanks,1.0
Great video,great video,1.0
This is an exceptionally good and helpful video. Im currently practicing media minimalism and I think this advice will now shape how I make decisions my entire life :),exceptionally good helpful video im currently practicing medium minimalism think advice shape make decision entire life,1.0
"In a very hard choice making scenario
Thanks for the lovely video",hard choice making scenario thanks lovely video,1.0
Im watching this right now weather i quit my 9 to 5 job or persue my passion as a full time artist. Im stock in analysis paralysis right now and what are the consequences if i quit. I dont have much time left since i need to give 1 month notice for my decision. But i know god is leading me into something good. I decided the hard way,im watching right weather quit job persue passion full time artist im stock analysis paralysis right consequence quit dont much time left since need give month notice decision know god leading something good decided hard way,1.0
"1. Use your negetiv emotions to achieve your goals.
2. You must have control over your life.
3. Stop focus on big goals instead  of progress.
4. Don't consume content instead start taking actions.
5. Think Big , achive big - You should set realistic goals 
6. Take small steps to achieve Big goals.

Thanks bhaiya ❤",use negetiv emotion achieve goal must control life stop focus big goal instead progress dont consume content instead start taking action think big achive big set realistic goal take small step achieve big goal thanks bhaiya,1.0
"""when we create reasons for ourselves to become this kind of person rather than that. we wholeheartedly become the people that we are"" But what are the bases for creating reasons to become a banker rather than to become an artist, say? Don't I need to know myself, know my values? If there is a better or worse or equally good answer to this question about who I am or what my values are, then isn't it not a hard choice anymore? (And if this is a wrong question to ask since there is no ""self"" and we can create ourselves ex nihilo, then there is nothing wrong with being a drifter.) Perhaps what defines hard choices is not that the options are on a par, but that the yardstick to compare the options is unclear - the person does not know herself or her values (well enough).",create reason become kind person rather wholeheartedly become people base creating reason become banker rather become artist say dont need know know value better worse equally good answer question value isnt hard choice anymore wrong question ask since self create ex nihilo nothing wrong drifter perhaps defines hard choice option par yardstick compare option unclear person know value well enough,1.0
"You don't ""create"" reasons, sorry Post Modernism. Reasons exist and you choose which to focus on and follow. I choose not to get diabetes from my breakfast vs to feel good in the moment. You can measure those results scientifically with health and longevity markers like nutrition content & their functions in the body vs dopamine markers or inflammation. Those reasons are both based on objective reality, that exists (thanks, Enlightenment! <3) But my subjectivity and free will is in how I craft and navigate my life and responses, in relation to reality and my own sense of self, values, dreams, etc. Pretending that we ""create"" rather than recognize the reasons ourselves is not only delusional but quite narcissistic. Living from a place of delusion is a kind of slavery as well, especially because it creates all sorts of unnecessary discord and confusion as regards our wellbeing and society.",dont create reason sorry post modernism reason exist choose focus follow choose get diabetes breakfast v feel good moment measure result scientifically health longevity marker like nutrition content function body v dopamine marker inflammation reason based objective reality exists thanks enlightenment subjectivity free craft navigate life response relation reality sense self value dream etc pretending create rather recognize reason delusional quite narcissistic living place delusion kind slavery well especially creates sort unnecessary discord confusion regard wellbeing society,1.0
"I am currently feeling lost in my job; it feels like I'm just there for the paycheck. I really don't know what kind of person I want to become, or rather, I want to be many different kinds of people, with a new idea every day, but I quickly grow tired of them.",currently feeling lost job feel like im paycheck really dont know kind person want become rather want many different kind people new idea every day quickly grow tired,1.0
"I want a big change I want that it's not a hard choice anymore after watching this ,thanks :) god bless.",want big change want hard choice anymore watching thanks god bless,1.0
This was one of the best choice videos I’ve watched!!! She is incredibly articulate and the message behind what she said is awesome.,one best choice video ive watched incredibly articulate message behind said awesome,1.0
Very inspiring thanks,inspiring thanks,1.0
I loved this Ted Talk.,loved ted talk,1.0
I hate it that they laugh on everything,hate laugh everything,0.0
"What a waste of a talk. I already know thr choice is hard. Help me make the freaking choice, don’t gloat universal knowledge like a profound idea",waste talk already know thr choice hard help make freaking choice dont gloat universal knowledge like profound idea,1.0
"My best interpretation of the talk:

You have to decide what values are more important for you, what you are going to value. You create value in the process of making such choices. Think of a baby/kid that makes certain choices about hobbies, food. He/she creates reasons in the process of making a choice. We will not tell our kid that he/she should do the hobby/study that best fits his/her values, we will motivate him/her to make a choice and see that choice as a step in becoming a person. Same for adults. So it's not so much about discovering reasons/which are the best reasons but rather creating reasons. in making a choice, you rather create reasons (or value) than passively discover and follow existing reasons (related to values). When reason tells you that both options are equally valuable, accept that both options are fine, use your intuition or feeling to decide which is really ok (or flip a coin if you want, whatever you want), and stop thinking about discovering reasons but focus on valuing/being attached to your choice.

does this make sense?",best interpretation talk decide value important going value create value process making choice think babykid make certain choice hobby food heshe creates reason process making choice tell kid heshe hobbystudy best fit hisher value motivate himher make choice see choice step becoming person adult much discovering reasonswhich best reason rather creating reason making choice rather create reason value passively discover follow existing reason related value reason tell option equally valuable accept option fine use intuition feeling decide really ok flip coin want whatever want stop thinking discovering reason focus valuingbeing attached choice make sense,0.0
Great perspective!  I really appreciated this.  I totally agree that hard choices forge our agency and individuality.  This is what philosophy is about 👊🏻,great perspective really appreciated totally agree hard choice forge agency individuality philosophy,1.0
"Wow, thanks, I'm still indecisive but smarter 😂",wow thanks im still indecisive smarter,1.0
Waow I don't know what do say.This monologue made me speechless.I've been trying to decide about my Erasmus program during last few weeks.And this speech made me feel in control and helped me a lot.Thanks to Ruth Chang :),waow dont know saythis monologue made speechlessive trying decide erasmus program last weeksand speech made feel control helped lotthanks ruth chang,1.0
