cleaned_comment,sentiment_score,sentiment
im sorry one person laughing tho,0.4404,positive
cant believe year later hit hard judging exactly condition whether stay move thank,0.2732,positive
marry using idea choosing two people marry teach hard decision make dreadful terrible ted talk,-0.7506,negative
thanks,0.4404,positive
great video,0.6249,positive
exceptionally good helpful video im currently practicing medium minimalism think advice shape make decision entire life,0.7408,positive
grateful,0.4588,positive
escolher j e em si uma escolha,0.0,neutral
thats lot word saying nothing,0.0,neutral
im glad ive found video im stuck trying decide two career choice helped immensely,0.25,positive
fabulous talk fabulous comment section talk brilliant discussion comment im feeling better equipped make decision ahead less alone thank,0.9384,positive
wow super unhelpful waste time,0.7096,positive
okay got know thing two honestly something dont know learned hard dont know person become created opinion regarding alternative,0.7348,positive
hard choice making scenario thanks lovely video,0.743,positive
im watching right weather quit job persue passion full time artist im stock analysis paralysis right consequence quit dont much time left since need give month notice decision know god leading something good decided hard way,0.765,positive
use negetiv emotion achieve goal must control life stop focus big goal instead progress dont consume content instead start taking action think big achive big set realistic goal take small step achieve big goal thanks bhaiya,0.5423,positive
want say millennial question donate life saving charity maybe least relatable question ive ever heard entire life,0.4767,positive
ive always drifter life,0.0,neutral
sadly feel dr chang lacked compassion younger self choosing become lawyer reflected value security time didnt mean drifter change circumstance may altered perspective doesnt invalidate past choice also made autonomy perhaps success philosopher made harder empathise younger vulnerable self important remember everyone privilege follow dream,0.9022,positive
create reason become kind person rather wholeheartedly become people base creating reason become banker rather become artist say dont need know know value better worse equally good answer question value isnt hard choice anymore wrong question ask since self create ex nihilo nothing wrong drifter perhaps defines hard choice option par yardstick compare option unclear person know value well enough,0.9041,positive
effort dedication make decision work tell wrong decisioni power make right one create successful happy path matter choice make,0.765,positive
dont create reason sorry post modernism reason exist choose focus follow choose get diabetes breakfast v feel good moment measure result scientifically health longevity marker like nutrition content function body v dopamine marker inflammation reason based objective reality exists thanks enlightenment subjectivity free craft navigate life response relation reality sense self value dream etc pretending create rather recognize reason delusional quite narcissistic living place delusion kind slavery well especially creates sort unnecessary discord confusion regard wellbeing society,0.8803,positive
easily one profound minute ever experienced bravo,0.34,positive
currently feeling lost job feel like im paycheck really dont know kind person want become rather want many different kind people new idea every day quickly grow tired,-0.7704,negative
gosh looking fun informative escapism emotional gut kick,0.5994,positive
professor use video reflection word hope someone help lol,0.8126,positive
want big change want hard choice anymore watching thanks god bless,0.7906,positive
still cant tell make decision leap change mind anyway usually necessary choose something loss accrue least choice made cant make decidions seems thats im,-0.3182,negative
ruth chang brilliant,0.5859,positive
know thyself,0.0,neutral
abnormal answer want rich successful leisure time also,0.8271,positive
one best choice video ive watched incredibly articulate message behind said awesome,0.8519,positive
donut,0.0,neutral
inspiring thanks,0.6908,positive
decided learning playing football clever student take national examination next week hand best goalkeeper pls help decided two choice,0.9349,positive
use wadm make hard decision objectively,-0.1027,negative
falling asleep rn,-0.1531,negative
