comment,cleaned_comment
This was a great watch.,great watch
"Just a question how to we Insert Host Rna do we use Cas9 protein ?  


Also Second question how do add  host rna to DNA in the first place rna has ribose while DNA has Deoxyribose also rna has Uracil as its nitrogenous base instead of Thymine ?",question insert host rna use ca protein also second question add host rna dna first place rna ribose dna deoxyribose also rna uracil nitrogenous base instead thymine
Thank you good sir.. this really helped me for my presentation,thank good sir really helped presentation
"Filling the gap
No evidence showed regarding any allegation
Stop misleading people",filling gap evidence showed regarding allegation stop misleading people
I watched half a dozen videos so far on CRISPR and this video helped me piece everything together with enough details. Thank you very much,watched half dozen video far crispr video helped piece everything together enough detail thank much
AWESOME VIDEOOOOOOO!!!! LOVED IT,awesome videooooooo loved
I guess it could be used for bad ( weapons) and good ( healing).,guess could used bad weapon good healing
Shivin sir❤,shivin sir
https://www.youtube.com/watch?v=XmmnHWPHSwQ,
I hate science,hate science
Love  this video! Very handsome,love video handsome
They transformed it into a weaponized version eugenics and specifically to create altered versions of plagues in undesirable populations. Hope they don’t use it.,transformed weaponized version eugenics specifically create altered version plague undesirable population hope dont use
god I love you,god love
Great video!❤,great video
Wow,wow
I always come back to this video when I need a refresher on CRISPR. This video has it all. Thank you!,always come back video need refresher crispr video thank
Thank you for the discussion.,thank discussion
Your videos have helped me in every major step in my academic career. I am a 1st year medical student and still come back to your videos for help. Thank you so much for all that you do!,video helped every major step academic career st year medical student still come back video help thank much
Can someone tell me how this is done though? Like is a machine used?,someone tell done though like machine used
Not very clear.,clear
CRISPER IS A LIVING BEING,crisper living
Blestematilor .. focul lui Putin o sa va arda .nimic nu o sa ramana din dracoveniile voastre spurcate ..,blestematilor focul lui putin sa va arda nimic nu sa ramana din dracoveniile voastre spurcate
Thank you,thank
"8 years later your videos continue saving lives and degrees. Incredible explanations! Please, for the love of god and the hope of future generations, never take down your posts!!",year later video continue saving life degree incredible explanation please love god hope future generation never take post
"Great explanation, highly appreciated <3",great explanation highly appreciated
"Good job but i think have a mistake 

In any given bacterial strain, a CRISPR sequence inserted during the oldest infection is located farthest from the cas genes and the most recent is closest to the cas genes.",good job think mistake given bacterial strain crispr sequence inserted oldest infection located farthest ca gene recent closest ca gene
Thanks a lot after 8 years wow=),thanks lot year wow
Basically what it is is x men technology there is a price that comes with playing God. A half life,basically x men technology price come playing god half life
Cambridge AS and A level biology writers should come and have lecture from you and then rewrite the book,cambridge level biology writer come lecture rewrite book
very good explanation! thank you sir.,good explanation thank sir
THANK YOU SO MUCH !!!! loved every second of this,thank much loved every second
brilliant simple explanation,brilliant simple explanation
Am I allowed to invite you to my college graduation?,allowed invite college graduation
Have you guys heard about mitochondria ? Hint- its the Powerhouse of the cell,guy heard mitochondrion hint powerhouse cell
Genetics is insane… dystopian future incoming,genetics insane dystopian future incoming
thank you that was very helpful!!!,thank helpful
CRISPR has made its way to the general public in the form of a Sickle Cell treatment. Limited trials i believe.,crispr made way general public form sickle cell treatment limited trial believe
Stumbled across it during my breakfast and such a wonderful video it is. The concept is explained very lucidily.,stumbled across breakfast wonderful video concept explained lucidily
How come it's RNA binding to DNA ... Shouldn't it be DNA too to bind to bacteriophage DNA,come rna binding dna shouldnt dna bind bacteriophage dna
"GRACIAS, ni un solo video con el que pudiese entenderlo y ahora me ha quedado clarísimo 🫶🏻",gracias ni un solo video con el que pudiese entenderlo ahora ha quedado clarsimo
super helpful!!,super helpful
it was helpful:),helpful
"How would you target all of the cells?
Otherwise the gene we want to be silenced would only be removed from the cells we have targeted.",would target cell otherwise gene want silenced would removed cell targeted
"I'm not sure I'm 100% on exactly how it works, but you did a beautiful job of explaining the base concepts to a relatively unscientific shlub like me. Thanks!",im sure im exactly work beautiful job explaining base concept relatively unscientific shlub like thanks
This will inevitably lead to people getting cancer from using this via gene mutations. As if the radiation from CT scanners and adjuvants from the shots are not enough. Just more customers for the allopathic medicine industry,inevitably lead people getting cancer using via gene mutation radiation ct scanner adjuvant shot enough customer allopathic medicine industry
"Ahh,, ya. 
I totally get it now.
Thanks for the simple explanation.
So much clearer on that now.",ahh ya totally get thanks simple explanation much clearer
"My teacher adviced my entire class to watch this video for a better understanding, and now I can see why. You just saved my essay man, thank you!",teacher adviced entire class watch video better understanding see saved essay man thank
Amazing 🤩,amazing
Soooo helpful thank you!,soooo helpful thank
"As a biology student, this helped me so much. Amazing video!",biology student helped much amazing video
Hey I have a question (I hope you are still reading and replying to comments) - how do you  cure a disease whose gene is in every cell of the body? How do you replace and insert a new gene replacing the old one which was causing the disease in ALL the cells in the body,hey question hope still reading replying comment cure disease whose gene every cell body replace insert new gene replacing old one causing disease cell body
"Many have played Jenga or know the basics of displacement.
Before humans have a complete understanding of genetics and a true explanation for "" junk DNA"".
In my opinion, sciences ( generic) are run like a business and may theories are lacking in research, application and the red tape is snipped prematurely to hasten a contract or deal . Scary shit.",many played jenga know basic displacement human complete understanding genetics true explanation junk dna opinion science generic run like business may theory lacking research application red tape snipped prematurely hasten contract deal scary shit
"this was honestly very beautiful , ill need to rewatch it tho",honestly beautiful ill need rewatch tho
Great lecture and simplicity  explained 👌 🎉🎉😊 thanks,great lecture simplicity explained thanks
"I typically never leave comments on videos, but you really taught me an entire lecture and lecture video  that my teracher assigned. She's not a bad teacher i actually like her, but somehow not everything gets through. I was so shaky on the concept or the crispr system and didn't know what was what. Now i feel as though i have some illegal knowledge that the government will try to take me in for at some point in my life.",typically never leave comment video really taught entire lecture lecture video teracher assigned shes bad teacher actually like somehow everything get shaky concept crispr system didnt know feel though illegal knowledge government try take point life
Thanks!,thanks
loved it,loved
legend,legend
"As a first year med student, THANK YOU!",first year med student thank
"I have grade 10 biology education (though fairly smart). I've taken an interest in this thing and genetic modifications in general. This was very easy to follow. Can anyone recommend a more advanced thing though that goes over WHY it's cutting those genes (all the details - chemicals etc.), and more in detail about adding the new DNA?",grade biology education though fairly smart ive taken interest thing genetic modification general easy follow anyone recommend advanced thing though go cutting gene detail chemical etc detail adding new dna
"Helix superbug cure  /  use crisp cut the superbug into short chain with manageable size and do the short chain bug with drugs known to us ,   mioa",helix superbug cure use crisp cut superbug short chain manageable size short chain bug drug known u mioa
It is mega helpful.   THANKS A LOT,mega helpful thanks lot
The best video on the topic !!,best video topic
WOW. Amazinf. really hope that I get to study these kinda stuff at university.,wow amazinf really hope get study kinda stuff university
In a Bioformatics program internship. My instructor took hours,bioformatics program internship instructor took hour
CRISPR has the potential for life extension.,crispr potential life extension
They've created an artificial ribosomal sub unit😮,theyve created artificial ribosomal sub unit
THANK YOU FOR THIS. MY PROFESSOR TRIED EXPLAINING THIS IN 1.5 HRS BUT ITS ONLINE SO IT MAKES IT EVEN MORE ENTICING TO SLEEP. 1.5 HRS SAVED,thank professor tried explaining hr online make even enticing sleep hr saved
You're a rockstar,youre rockstar
"I really liked your video, I am an educator - teaching medical residents and students. Can you please share how you create animations for your videos. Thanks in advance. Dr Arora",really liked video educator teaching medical resident student please share create animation video thanks advance dr arora
Thanks for sharing this! it was awesome ;),thanks sharing awesome
"Thanks Mr Bozeman. Great explanation! I do have a question. If you want to heal a patient with a genetic disease, does the crispr-cas9 corrects one cell or all the cells? If it only heal one cell, how does the healed cell overcome other original cells?",thanks mr bozeman great explanation question want heal patient genetic disease crisprcas corrects one cell cell heal one cell healed cell overcome original cell
that was fantastic to summarize it in a very short time. thanks,fantastic summarize short time thanks
I watched 5 videos but still i was confused until i found your video and I understood everything finally 💖💖💖💖👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻thank you,watched video still confused found video understood everything finally thank
