comment,cleaned_comment,cluster
Well that was a pointless watch,well pointless watch,0.0
No dress sense here.,dress sense,0.0
"How about using JWST to check out “Tabby’s Star”? Supposedly, it has a range of 13.5 BILLION light years. If so it should be a very simple answer to be discovered, unless there is something they don’t want us to know like, JWST doesn’t work and was a waste of money, OR maybe, just maybe, astronomy itself is a waste of money, that could be used to actually help people on this planet.",using jwst check tabby star supposedly range billion light year simple answer discovered unless something dont want u know like jwst doesnt work waste money maybe maybe astronomy waste money could used actually help people planet,-1.0
YOU WILL BECOME THE EARLIN  IN FUTURE.,become earlin future,0.0
"A ""Dyson sphere"" is the dumbest astrophysics hypothesis in all of human history. As for this particular star, ""We don't know what is going on, but we're working on finding out,"" is sufficient. 

Maybe it's a fleet of space-busses taking extraterrestrial ""children"" to space-school, and the long pauses between events are Spring and Summer Break? 

That's at least as good a hypothesis as a Dyson sphere.",dyson sphere dumbest astrophysics hypothesis human history particular star dont know going working finding sufficient maybe fleet spacebusses taking extraterrestrial child spaceschool long pause event spring summer break thats least good hypothesis dyson sphere,-1.0
"The theory of Dyson spheres is at best absurd, at worst, ludicrous.
To think that a civilisation capeable of constructing a mega structure around it's star to capture energy,
Would endeavour to do so, while other forms of limitless energy would be available to that advanced civilisation,
Is plain silly.
We, here, now, are on the verge of fusion energy, limitless cheap energy,
Other more exotic energy will be available within the next one hundred years.
The mere construction around a star would probably use all of the material from dozens of planets, the length of construction measured in thousands of years,
Whatever planets remained in those solar systems would see dramatic, maybe even catastrophic falls in sunlight, weather pattern carnage, and eco systems collapse.
Dyson spheres are nonsense.",theory dyson sphere best absurd worst ludicrous think civilisation capeable constructing mega structure around star capture energy would endeavour form limitless energy would available advanced civilisation plain silly verge fusion energy limitless cheap energy exotic energy available within next one hundred year mere construction around star would probably use material dozen planet length construction measured thousand year whatever planet remained solar system would see dramatic maybe even catastrophic fall sunlight weather pattern carnage eco system collapse dyson sphere nonsense,-1.0
"Some time ago a telescope observed something taking energy from our sun and there was many hypotheses commentary about that, is the only thing we can do about until nobody remembers the event it’s sad but…",time ago telescope observed something taking energy sun many hypothesis commentary thing nobody remembers event sad,-1.0
"""Anything that uses a lot of energy produces a lot of heat"" is mentioned 11:04. But this isn't always the case—it depends on how efficiently the energy is converted into the intended form of work.

For example, electric heaters are designed to convert electrical energy directly into heat, so nearly all the energy becomes heat. However, LED lights or electric motors are much more efficient: they convert most of the energy into light or motion, respectively, with minimal heat loss. So while energy usage often correlates with heat production, the relationship depends on the efficiency and purpose of the device.",anything us lot energy produce lot heat mentioned isnt always caseit depends efficiently energy converted intended form work example electric heater designed convert electrical energy directly heat nearly energy becomes heat however led light electric motor much efficient convert energy light motion respectively minimal heat loss energy usage often correlate heat production relationship depends efficiency purpose device,0.0
13:35 overlay for triple crosss and death by star child operations CHL all else REDACTED. It never happened SAL AND HAL,overlay triple cross death star child operation chl else redacted never happened sal hal,0.0
And I thought Angelina Jolie was the most mysterious star in the Universe 😂🎉,thought angelina jolie mysterious star universe,0.0
