comment,cleaned_comment,label
"How about using JWST to check out “Tabby’s Star”? Supposedly, it has a range of 13.5 BILLION light years. If so it should be a very simple answer to be discovered, unless there is something they don’t want us to know like, JWST doesn’t work and was a waste of money, OR maybe, just maybe, astronomy itself is a waste of money, that could be used to actually help people on this planet.",using jwst check tabby star supposedly range billion light year simple answer discovered unless something dont want u know like jwst doesnt work waste money maybe maybe astronomy waste money could used actually help people planet,1.0
"A ""Dyson sphere"" is the dumbest astrophysics hypothesis in all of human history. As for this particular star, ""We don't know what is going on, but we're working on finding out,"" is sufficient. 

Maybe it's a fleet of space-busses taking extraterrestrial ""children"" to space-school, and the long pauses between events are Spring and Summer Break? 

That's at least as good a hypothesis as a Dyson sphere.",dyson sphere dumbest astrophysics hypothesis human history particular star dont know going working finding sufficient maybe fleet spacebusses taking extraterrestrial child spaceschool long pause event spring summer break thats least good hypothesis dyson sphere,1.0
"The theory of Dyson spheres is at best absurd, at worst, ludicrous.
To think that a civilisation capeable of constructing a mega structure around it's star to capture energy,
Would endeavour to do so, while other forms of limitless energy would be available to that advanced civilisation,
Is plain silly.
We, here, now, are on the verge of fusion energy, limitless cheap energy,
Other more exotic energy will be available within the next one hundred years.
The mere construction around a star would probably use all of the material from dozens of planets, the length of construction measured in thousands of years,
Whatever planets remained in those solar systems would see dramatic, maybe even catastrophic falls in sunlight, weather pattern carnage, and eco systems collapse.
Dyson spheres are nonsense.",theory dyson sphere best absurd worst ludicrous think civilisation capeable constructing mega structure around star capture energy would endeavour form limitless energy would available advanced civilisation plain silly verge fusion energy limitless cheap energy exotic energy available within next one hundred year mere construction around star would probably use material dozen planet length construction measured thousand year whatever planet remained solar system would see dramatic maybe even catastrophic fall sunlight weather pattern carnage eco system collapse dyson sphere nonsense,0.0
Jesus is the Greatest Superstar.,jesus greatest superstar,1.0
A spacestation for interstellar communications disguised as an Artificial Star... Like a Synthetic Programmable Starlight Generator or something like that??? ,spacestation interstellar communication disguised artificial star like synthetic programmable starlight generator something like,1.0
When I was a child I thought aliens would look like monsters until I realized we are aliens to everyone else in the universe.we are not the only human beings in the universe if you think we are that lucky you are just selfish!,child thought alien would look like monster realized alien everyone else universewe human being universe think lucky selfish,1.0
"I find it cute, as if an ant colony witnessed their first snowflake and the top scientist ants tell the others what it is as if they should know because... they are the top scientist ants. I myself am not any kind of scientist, but I do have great vision and imagination.",find cute ant colony witnessed first snowflake top scientist ant tell others know top scientist ant kind scientist great vision imagination,1.0
"Too long: strange patterns, many volunteers, in the end it's not aliens, they don't know what it is. And she is a bad speaker, weird pauses, bad tone, and in the end very little information.",long strange pattern many volunteer end alien dont know bad speaker weird pause bad tone end little information,0.0
"Well, how about huge comet passed in between that star and earth but the comet is very far from that star that would abstruct great chunk of light from that star",well huge comet passed star earth comet far star would abstruct great chunk light star,1.0
"Just some gas clouds passed the star, boring.",gas cloud passed star boring,0.0
