cleaned_comment,sentiment_score,sentiment
well pointless watch,0.2732,positive
dress sense,0.0,neutral
using jwst check tabby star supposedly range billion light year simple answer discovered unless something dont want u know like jwst doesnt work waste money maybe maybe astronomy waste money could used actually help people planet,0.6164,positive
become earlin future,0.0,neutral
dyson sphere dumbest astrophysics hypothesis human history particular star dont know going working finding sufficient maybe fleet spacebusses taking extraterrestrial child spaceschool long pause event spring summer break thats least good hypothesis dyson sphere,-0.6914,negative
theory dyson sphere best absurd worst ludicrous think civilisation capeable constructing mega structure around star capture energy would endeavour form limitless energy would available advanced civilisation plain silly verge fusion energy limitless cheap energy exotic energy available within next one hundred year mere construction around star would probably use material dozen planet length construction measured thousand year whatever planet remained solar system would see dramatic maybe even catastrophic fall sunlight weather pattern carnage eco system collapse dyson sphere nonsense,-0.2263,negative
time ago telescope observed something taking energy sun many hypothesis commentary thing nobody remembers event sad,-0.25,negative
anything us lot energy produce lot heat mentioned isnt always caseit depends efficiently energy converted intended form work example electric heater designed convert electrical energy directly heat nearly energy becomes heat however led light electric motor much efficient convert energy light motion respectively minimal heat loss energy usage often correlate heat production relationship depends efficiency purpose device,0.9493,positive
overlay triple cross death star child operation chl else redacted never happened sal hal,-0.5994,negative
thought angelina jolie mysterious star universe,0.0,neutral
ooh okay okay imagine guy personal opinion know possible imagine one day v r cross observable universe border warp drive cryosleep,0.4215,positive
could flat planet orbiting star giving irregular dip light side flat,0.34,positive
guessworkthey make kind nonsense,0.1779,positive
shes comfortable suggesting alien tech waaaaaay glide easily moon creation common flawed hypothesis interesting guess one handle much,0.8591,positive
maybe dyson sphere,0.0,neutral
mile funny american,0.4404,positive
spend time money looking needed look within iykyk,0.0,neutral
indicating dyson sphere,0.0,neutral
think anyone know anti christian ashamed evil bringing god back,-0.8271,negative
jesus greatest superstar,0.6369,positive
spacestation interstellar communication disguised artificial star like synthetic programmable starlight generator something like,0.4404,positive
child thought alien would look like monster realized alien everyone else universewe human being universe think lucky selfish,0.296,positive
skeptical science must tell something science must unquestionably believe science always proven wrong later always believe science,-0.6597,negative
im simple star thats u cant see,0.0,neutral
pick planet perfectly near perfectly alignment earth sun slice endless cake imagine one dont align exponentially exist,0.8555,positive
couldnt simply giant planet enormous moon orbiting,0.0,neutral
joke make something run black energy black matter white hole stop lie time favorite big bang none real keep making money lie,0.6369,positive
update subsequent jwst going service,0.0,neutral
find cute ant colony witnessed first snowflake top scientist ant tell others know top scientist ant kind scientist great vision imagination,0.9337,positive
long strange pattern many volunteer end alien dont know bad speaker weird pause bad tone end little information,0.4939,positive
earth eleven time smaller jupiter diameter time smaller different thing,0.0,neutral
well huge comet passed star earth comet far star would abstruct great chunk light star,0.8176,positive
guess star trinary star system two black hole,0.0,neutral
reading multiple planet aligning line sight kepler telescope,0.0,neutral
amazing story,0.5859,positive
worthy ted talk admitted didnt know causing phenomenon go unsubstantiated theory boo hiss,0.5106,positive
