comment,cleaned_comment
"do explain how we little humans will stop what has happened to the earth numerous times in it's past?  You do understand we are at the end of an ice age right?  Guess what happens? The climate changes, get's hot. AGAIN. You do know during the age of dinosaurs there was no permanent ice right? How unbelievably stupid and arrogant of you to suggest we can stop the NATURAL cycles of hot and cold climate changes that have already happened multiple times.",explain little human stop happened earth numerous time past understand end ice age right guess happens climate change get hot know age dinosaur permanent ice right unbelievably stupid arrogant suggest stop natural cycle hot cold climate change already happened multiple time
The world wide can know My University that is processing oil since 150 years ago around the world wide And the Industrial revolution it has been since 262 years ago around the world wide but the humanity know not the point critical of the mother earth planet study and Investigation for the University of the Amazon Peru Loreto latin America City Iquitos,world wide know university processing oil since year ago around world wide industrial revolution since year ago around world wide humanity know point critical mother earth planet study investigation university amazon peru loreto latin america city iquitos
"Stop having children, using their cars and go vegan, now!!!",stop child using car go vegan
natural evolution does not stop. if the great dying happened before it will happen again.,natural evolution stop great dying happened happen
"Sagej.kiny.zvia.nako
Xanesa
Ceka ybeny kiseknky 
Iz.rebne.kyce xon.konga
Began.sin.satejena.
Ta ybean.sizo.aba y.jeapen",sagejkinyzvianako xanesa ceka ybeny kiseknky izrebnekyce xonkonga begansinsatejena ta ybeansizoaba yjeapen
Huge refrigerator is the solution 😂,huge refrigerator solution
Hopefully this is true and all human beings die out and the planets restored to the beautiful place at once was,hopefully true human being die planet restored beautiful place
"Nitrogen (N₂) and oxygen (O₂) make up about 99% of the Earth's atmosphere. Meanwhile, the much-dreaded increase in CO₂ over the last 100 years? A whopping 0.02%. That’s right—CO₂ is about 5,000 times less abundant than N₂ and O₂. So the idea that this tiny trace gas is singlehandedly steering the climate ship, based solely on its “motion” in the atmosphere, is a bit of a stretch, to say the least.  The motion of the earth's atmphsere (wind, convection) is used to jusitify the CO₂ climate change theory but if we’re going to talk thermodynamics—at room temperature, the molar heat capacities at constant pressure (Cp) are roughly 29.4 J/mol·K for O₂, 29.1 for N₂, and 37.1 for CO₂. So yes, CO₂ can hold a bit more heat, but nothing that screams the planetary climate changed experience today nor does the motion of the atomsphere make up this difference.  In another obtuse justification of the ostesible CO₂ theory.  A microwave oven analogy is used to justify the CO₂ theory climate change where the screen of the door ,00002% of the volume of the microwave oven is used to justify that CO₂  is causing climate change but the door screen is composed of solid matter yet  CO₂ is obviously a gas.  You cannot bake and apple pie using oranges.  The real culprit? Thermodynamic pollution—excess heat being dumped into the environment from human activity. But instead of focusing on that, the conversation keeps circling around CO₂ like it’s some kind of atmospheric supervillain. Why? Because apparently, applying basic common sense is too radical a move in today’s climate discourse.",nitrogen n oxygen make earth atmosphere meanwhile muchdreaded increase co last year whopping thats rightco time less abundant n idea tiny trace gas singlehandedly steering climate ship based solely motion atmosphere bit stretch say least motion earth atmphsere wind convection used jusitify co climate change theory going talk thermodynamicsat room temperature molar heat capacity constant pressure cp roughly jmolk n co yes co hold bit heat nothing scream planetary climate changed experience today motion atomsphere make difference another obtuse justification ostesible co theory microwave oven analogy used justify co theory climate change screen door volume microwave oven used justify co causing climate change door screen composed solid matter yet co obviously gas bake apple pie using orange real culprit thermodynamic pollutionexcess heat dumped environment human activity instead focusing conversation keep circling around co like kind atmospheric supervillain apparently applying basic common sense radical move today climate discourse
Hmmmmm,hmmmmm
This is a very insightful and well-researched film that moves beyond just the problems to highlight the powerful efforts being made to avert disaster. It’s a crucial reminder that a sustainable future is possible if we act now.,insightful wellresearched film move beyond problem highlight powerful effort made avert disaster crucial reminder sustainable future possible act
