comment,cleaned_comment,label
natural evolution does not stop. if the great dying happened before it will happen again.,natural evolution stop great dying happened happen,1.0
"Nitrogen (N₂) and oxygen (O₂) make up about 99% of the Earth's atmosphere. Meanwhile, the much-dreaded increase in CO₂ over the last 100 years? A whopping 0.02%. That’s right—CO₂ is about 5,000 times less abundant than N₂ and O₂. So the idea that this tiny trace gas is singlehandedly steering the climate ship, based solely on its “motion” in the atmosphere, is a bit of a stretch, to say the least.  The motion of the earth's atmphsere (wind, convection) is used to jusitify the CO₂ climate change theory but if we’re going to talk thermodynamics—at room temperature, the molar heat capacities at constant pressure (Cp) are roughly 29.4 J/mol·K for O₂, 29.1 for N₂, and 37.1 for CO₂. So yes, CO₂ can hold a bit more heat, but nothing that screams the planetary climate changed experience today nor does the motion of the atomsphere make up this difference.  In another obtuse justification of the ostesible CO₂ theory.  A microwave oven analogy is used to justify the CO₂ theory climate change where the screen of the door ,00002% of the volume of the microwave oven is used to justify that CO₂  is causing climate change but the door screen is composed of solid matter yet  CO₂ is obviously a gas.  You cannot bake and apple pie using oranges.  The real culprit? Thermodynamic pollution—excess heat being dumped into the environment from human activity. But instead of focusing on that, the conversation keeps circling around CO₂ like it’s some kind of atmospheric supervillain. Why? Because apparently, applying basic common sense is too radical a move in today’s climate discourse.",nitrogen n oxygen make earth atmosphere meanwhile muchdreaded increase co last year whopping thats rightco time less abundant n idea tiny trace gas singlehandedly steering climate ship based solely motion atmosphere bit stretch say least motion earth atmphsere wind convection used jusitify co climate change theory going talk thermodynamicsat room temperature molar heat capacity constant pressure cp roughly jmolk n co yes co hold bit heat nothing scream planetary climate changed experience today motion atomsphere make difference another obtuse justification ostesible co theory microwave oven analogy used justify co theory climate change screen door volume microwave oven used justify co causing climate change door screen composed solid matter yet co obviously gas bake apple pie using orange real culprit thermodynamic pollutionexcess heat dumped environment human activity instead focusing conversation keep circling around co like kind atmospheric supervillain apparently applying basic common sense radical move today climate discourse,1.0
"All you need to know to understand how much trouble we are in? Plants that were alive 40 000 years ago are just starting to decay ""today"". Too bad too many think that is ""fake news"".",need know understand much trouble plant alive year ago starting decay today bad many think fake news,0.0
If The North Pole used to be lush and filled with life because that is the way the earth wanted it then what if it goes back to being like that because the earth feels like going back to the good old days when there were no humans making her mad? Who's going to stop her??,north pole used lush filled life way earth wanted go back like earth feel like going back good old day human making mad who going stop,1.0
I feel like these things happened way before as well.... there's a difference between global warming and knowing and recording things from not long ago.  There are scientists in Antarctica who absolutely laugh at the warming concerns.  I know one personally.  When I talk to him he always laughs and says it's colder there then it has been in years.   It's natural cooling heating cycles.   Just now they figured out ways to keep political agendas and money from fear of it all .  But what do I know.....,feel like thing happened way well there difference global warming knowing recording thing long ago scientist antarctica absolutely laugh warming concern know one personally talk always laugh say colder year natural cooling heating cycle figured way keep political agenda money fear know,1.0
Shame this is totally out of date with current changes. The US has just determined to use even more coal. It's better to remove videos like this because they become dated too quickly as the world changes even quicker,shame totally date current change u determined use even coal better remove video like become dated quickly world change even quicker,1.0
"People didn't think climate change would be this bad, but it is !",people didnt think climate change would bad,0.0
"Global Warming is a threat to the earth environmental issues. However, there is good news. Through the coming of Gods Kingdom it will put an end to Global Warming and Climate Change soon. JW",global warming threat earth environmental issue however good news coming god kingdom put end global warming climate change soon jw,1.0
"These solutions are like - one has a stomach problem eating pizza and die definatly if it continues eating, but he continues eating pizza + added 1 bottle coke with it, he thinks it will digest. Instead he had to stop eating and replace with it green vegitables. Ultimatly everyone will suffer of cunsuming nature. Rich think they will survive without any harm, but at point AC does'nt work,  drought will every where or flood and climate will itself increase at rapid pace.",solution like one stomach problem eating pizza die definatly continues eating continues eating pizza added bottle coke think digest instead stop eating replace green vegitables ultimatly everyone suffer cunsuming nature rich think survive without harm point ac doesnt work drought every flood climate increase rapid pace,1.0
"If you can't determine what the""correct"" temperature for the earth should be, you can't determine if warming is good or bad. So, climate change is a scientific scam.",cant determine thecorrect temperature earth cant determine warming good bad climate change scientific scam,1.0
