comment,cleaned_comment
"So I’ve done some thinking, and I think that the black holes probably better to describe the journey of my thoughts.
So if you got something or anything falling into a black hole, and it starts to speed up faster and faster and faster to the speed of light. 
Everything breaks apart by the force of gravity, falling faster and faster and faster not because the speed of light, but because the speed of the medium is being sucked into the hole, all the particles be split and torn apart everything is torn apart, spaghettified is a simpler term but loses its meaning as you would imaging noodles, but noodles is a thing, and this is not a thing, further and further this is  more deeper everything gets torn apart explosive energy so maybe that some will be transmitted out as some  Hawking radiation I assume.

But it doesn’t stop there because you’re gonna fall further than the distance from the horizon, to the center, how to describe it, the core of the black hole is infinitely far away you’ll never reach there. 
You’ll evaporate well belong before you can get there as it  much muuuuuuuch further than the horizon is from the center, so It can’t be explained in normal physics. I think you have to imagine Interdimensionaly there is no end and to get there the fabric of space is stretches faster than the speed of light can travel, the wave of lengths will be stretched so thin to be longer than red light can stretch, quarks and gluons etc will be pulled apart. And exploded.

🧭 time has no meaning, the decay of particles will slow to a mear stop, the explosions as a little particle bodies are torn apart will slow to a mear stop, as to be traveling faster than light relative, the medium stretching faster than light can travel. 
Perhaps 🧐 maybe the medium of space time has been torn apart as well?
It’s quite paradoxical, thinking I know to have explosions that don’t decay to have particles that don’t care but yet they get torn apart, that’s all  my little brain can take 🧠

If you could see inside the black hole, everything would be curved back towards the center. If you tried to look out, you couldn’t see it. if you could just see the point where everything is going, the center is in every direction because light is being curved back towards a center, but no you can’t see anything as light can’t come back from the center
And every direction is towards the center from your perception because the lights always curving back towards the center of which is unreachable…  like I said brain 🧠 go boom 💥 🤪😵‍💫

🤪Haha I hope that makes sense 🤪

The mas of the black hole 🕳️ is all  accumulated mass within it even though those particles may not touch each other ever as they’re being torn apart for further towards the center closer now but not closer you’ll never reach there…

🤔 hmm my mind is turning to mush
Think of it like a suspended try you put a hose with running water on it,
Then poke a hole 🕳️ in the tray 
The water will spiral towards a hole due to earths spin and gravitation and maybe magnetic fields.
Then down through the hole into a laminate flow, then as it falls faster, the flow will pull apart into droplets, the droplets will pull apart due to earth’s gravity faster against the air medium, and probably break apart to smaller droplets.
And allow those droplets to fall through a Dyson ring fan on full power!
Or a compressed air blower venturi and the droplets will be split & separated further into a fine mist…

Then you’ll need a particle accelerator to speeds where high speeds can be accomplish on earth,  but we need to go faster still muuuuuuuuuuch Faaaaaaaaaaaaaaaasssttter. Than we can accomplish to do on earth… 
Interdimensionally faster!

Is your brain all gooey & squishy now? 😵‍💫🤪🥰😁🤣😂🤪",ive done thinking think black hole probably better describe journey thought got something anything falling black hole start speed faster faster faster speed light everything break apart force gravity falling faster faster faster speed light speed medium sucked hole particle split torn apart everything torn apart spaghettified simpler term loses meaning would imaging noodle noodle thing thing deeper everything get torn apart explosive energy maybe transmitted hawking radiation assume doesnt stop youre gon na fall distance horizon center describe core black hole infinitely far away youll never reach youll evaporate well belong get much muuuuuuuch horizon center cant explained normal physic think imagine interdimensionaly end get fabric space stretch faster speed light travel wave length stretched thin longer red light stretch quark gluon etc pulled apart exploded time meaning decay particle slow mear stop explosion little particle body torn apart slow mear stop traveling faster light relative medium stretching faster light travel perhaps maybe medium space time torn apart well quite paradoxical thinking know explosion dont decay particle dont care yet get torn apart thats little brain take could see inside black hole everything would curved back towards center tried look couldnt see could see point everything going center every direction light curved back towards center cant see anything light cant come back center every direction towards center perception light always curving back towards center unreachable like said brain go boom haha hope make sense ma black hole accumulated mass within even though particle may touch ever theyre torn apart towards center closer closer youll never reach hmm mind turning mush think like suspended try put hose running water poke hole tray water spiral towards hole due earth spin gravitation maybe magnetic field hole laminate flow fall faster flow pull apart droplet droplet pull apart due earth gravity faster air medium probably break apart smaller droplet allow droplet fall dyson ring fan full power compressed air blower venturi droplet split separated fine mist youll need particle accelerator speed high speed accomplish earth need go faster still muuuuuuuuuuch faaaaaaaaaaaaaaaasssttter accomplish earth interdimensionally faster brain gooey squishy
Awesome,awesome
"Sadly, science went out of Brian when he became a disciple of the global warming religion.",sadly science went brian became disciple global warming religion
If time stops from our point of view then why do we still see stars fall into black holes or two black holes collide?,time stop point view still see star fall black hole two black hole collide
"∂I/∂t = ∇²I - ε ∇S + Γ 

God is behind all mathematics.",god behind mathematics
"Though Dr Cox is a great and very clear presenter, I still can't grasp some of the concepts. Fascinating.",though dr cox great clear presenter still cant grasp concept fascinating
"Is a black hole solid? I mean is it made up of atoms or have the electrons, protons, neutrons been crushed down to one thing or are touching?",black hole solid mean made atom electron proton neutron crushed one thing touching
Send me into a black hole,send black hole
Keanu Reeves.,keanu reef
"1- There is no such thing as a black hole. These jokers point a multi-band width detection device at an area of space and if there is an area that is dark , they call it a black hole..lol  It could be space dust, gas, nebula's etc. Not some evil black hole lurking and waiting to swallow you and your galaxy up.. Good grief Charlie Brown.
2- Time does not slow down the faster you travel.  If you get in a spaceship and fly to a planet that is 10 light years away and you can travel at the speed of light,  here's what happens . (Leave the acceleration and deceleration phase out of the equation for the sake of this scenario) You would travel 10 years outbound and 10 years back. That's 20 years folks. Pretty simple math. When you come home you will therefore be exactly 20 years older and magically your friends and family on earth will also be 20 years older . You will not have aged 2 years while everyone back on earth magically aged 250 years .  (Like every b movie portrays)
(Maybe your wrist watch ran faster or ran slower while you were in zero gravity  but its irrelevant) You travelled a distance of 20 light years at the speed of light.  That takes 20 years .... full stop.
2+ 2 = 4. It always was and always will be .
In fact , I hereby declare that I have discovered that which eluded Einstein. I have found the one  ""Theory of Everything""      It's the one equation by which all things in the universe must function.   2+2=4.
All physics , calculus and Quantum Conundrums all must eventually be solved to adhere to this simple truth ... 
                           2+2 = 4",thing black hole joker point multiband width detection device area space area dark call black holelol could space dust gas nebula etc evil black hole lurking waiting swallow galaxy good grief charlie brown time slow faster travel get spaceship fly planet light year away travel speed light here happens leave acceleration deceleration phase equation sake scenario would travel year outbound year back thats year folk pretty simple math come home therefore exactly year older magically friend family earth also year older aged year everyone back earth magically aged year like every b movie portrays maybe wrist watch ran faster ran slower zero gravity irrelevant travelled distance light year speed light take year full stop always always fact hereby declare discovered eluded einstein found one theory everything one equation thing universe must function physic calculus quantum conundrum must eventually solved adhere simple truth
