comment,cleaned_comment,label
"So I’ve done some thinking, and I think that the black holes probably better to describe the journey of my thoughts.
So if you got something or anything falling into a black hole, and it starts to speed up faster and faster and faster to the speed of light. 
Everything breaks apart by the force of gravity, falling faster and faster and faster not because the speed of light, but because the speed of the medium is being sucked into the hole, all the particles be split and torn apart everything is torn apart, spaghettified is a simpler term but loses its meaning as you would imaging noodles, but noodles is a thing, and this is not a thing, further and further this is  more deeper everything gets torn apart explosive energy so maybe that some will be transmitted out as some  Hawking radiation I assume.

But it doesn’t stop there because you’re gonna fall further than the distance from the horizon, to the center, how to describe it, the core of the black hole is infinitely far away you’ll never reach there. 
You’ll evaporate well belong before you can get there as it  much muuuuuuuch further than the horizon is from the center, so It can’t be explained in normal physics. I think you have to imagine Interdimensionaly there is no end and to get there the fabric of space is stretches faster than the speed of light can travel, the wave of lengths will be stretched so thin to be longer than red light can stretch, quarks and gluons etc will be pulled apart. And exploded.

🧭 time has no meaning, the decay of particles will slow to a mear stop, the explosions as a little particle bodies are torn apart will slow to a mear stop, as to be traveling faster than light relative, the medium stretching faster than light can travel. 
Perhaps 🧐 maybe the medium of space time has been torn apart as well?
It’s quite paradoxical, thinking I know to have explosions that don’t decay to have particles that don’t care but yet they get torn apart, that’s all  my little brain can take 🧠

If you could see inside the black hole, everything would be curved back towards the center. If you tried to look out, you couldn’t see it. if you could just see the point where everything is going, the center is in every direction because light is being curved back towards a center, but no you can’t see anything as light can’t come back from the center
And every direction is towards the center from your perception because the lights always curving back towards the center of which is unreachable…  like I said brain 🧠 go boom 💥 🤪😵‍💫

🤪Haha I hope that makes sense 🤪

The mas of the black hole 🕳️ is all  accumulated mass within it even though those particles may not touch each other ever as they’re being torn apart for further towards the center closer now but not closer you’ll never reach there…

🤔 hmm my mind is turning to mush
Think of it like a suspended try you put a hose with running water on it,
Then poke a hole 🕳️ in the tray 
The water will spiral towards a hole due to earths spin and gravitation and maybe magnetic fields.
Then down through the hole into a laminate flow, then as it falls faster, the flow will pull apart into droplets, the droplets will pull apart due to earth’s gravity faster against the air medium, and probably break apart to smaller droplets.
And allow those droplets to fall through a Dyson ring fan on full power!
Or a compressed air blower venturi and the droplets will be split & separated further into a fine mist…

Then you’ll need a particle accelerator to speeds where high speeds can be accomplish on earth,  but we need to go faster still muuuuuuuuuuch Faaaaaaaaaaaaaaaasssttter. Than we can accomplish to do on earth… 
Interdimensionally faster!

Is your brain all gooey & squishy now? 😵‍💫🤪🥰😁🤣😂🤪",ive done thinking think black hole probably better describe journey thought got something anything falling black hole start speed faster faster faster speed light everything break apart force gravity falling faster faster faster speed light speed medium sucked hole particle split torn apart everything torn apart spaghettified simpler term loses meaning would imaging noodle noodle thing thing deeper everything get torn apart explosive energy maybe transmitted hawking radiation assume doesnt stop youre gon na fall distance horizon center describe core black hole infinitely far away youll never reach youll evaporate well belong get much muuuuuuuch horizon center cant explained normal physic think imagine interdimensionaly end get fabric space stretch faster speed light travel wave length stretched thin longer red light stretch quark gluon etc pulled apart exploded time meaning decay particle slow mear stop explosion little particle body torn apart slow mear stop traveling faster light relative medium stretching faster light travel perhaps maybe medium space time torn apart well quite paradoxical thinking know explosion dont decay particle dont care yet get torn apart thats little brain take could see inside black hole everything would curved back towards center tried look couldnt see could see point everything going center every direction light curved back towards center cant see anything light cant come back center every direction towards center perception light always curving back towards center unreachable like said brain go boom haha hope make sense ma black hole accumulated mass within even though particle may touch ever theyre torn apart towards center closer closer youll never reach hmm mind turning mush think like suspended try put hose running water poke hole tray water spiral towards hole due earth spin gravitation maybe magnetic field hole laminate flow fall faster flow pull apart droplet droplet pull apart due earth gravity faster air medium probably break apart smaller droplet allow droplet fall dyson ring fan full power compressed air blower venturi droplet split separated fine mist youll need particle accelerator speed high speed accomplish earth need go faster still muuuuuuuuuuch faaaaaaaaaaaaaaaasssttter accomplish earth interdimensionally faster brain gooey squishy,1.0
Awesome,awesome,1.0
"Though Dr Cox is a great and very clear presenter, I still can't grasp some of the concepts. Fascinating.",though dr cox great clear presenter still cant grasp concept fascinating,1.0
"1- There is no such thing as a black hole. These jokers point a multi-band width detection device at an area of space and if there is an area that is dark , they call it a black hole..lol  It could be space dust, gas, nebula's etc. Not some evil black hole lurking and waiting to swallow you and your galaxy up.. Good grief Charlie Brown.
2- Time does not slow down the faster you travel.  If you get in a spaceship and fly to a planet that is 10 light years away and you can travel at the speed of light,  here's what happens . (Leave the acceleration and deceleration phase out of the equation for the sake of this scenario) You would travel 10 years outbound and 10 years back. That's 20 years folks. Pretty simple math. When you come home you will therefore be exactly 20 years older and magically your friends and family on earth will also be 20 years older . You will not have aged 2 years while everyone back on earth magically aged 250 years .  (Like every b movie portrays)
(Maybe your wrist watch ran faster or ran slower while you were in zero gravity  but its irrelevant) You travelled a distance of 20 light years at the speed of light.  That takes 20 years .... full stop.
2+ 2 = 4. It always was and always will be .
In fact , I hereby declare that I have discovered that which eluded Einstein. I have found the one  ""Theory of Everything""      It's the one equation by which all things in the universe must function.   2+2=4.
All physics , calculus and Quantum Conundrums all must eventually be solved to adhere to this simple truth ... 
                           2+2 = 4",thing black hole joker point multiband width detection device area space area dark call black holelol could space dust gas nebula etc evil black hole lurking waiting swallow galaxy good grief charlie brown time slow faster travel get spaceship fly planet light year away travel speed light here happens leave acceleration deceleration phase equation sake scenario would travel year outbound year back thats year folk pretty simple math come home therefore exactly year older magically friend family earth also year older aged year everyone back earth magically aged year like every b movie portrays maybe wrist watch ran faster ran slower zero gravity irrelevant travelled distance light year speed light take year full stop always always fact hereby declare discovered eluded einstein found one theory everything one equation thing universe must function physic calculus quantum conundrum must eventually solved adhere simple truth,1.0
"Hey look at me! I have a government education and they're going to help me understand things that nobody else understands. That's how I understand! 
These people love the sound of their own voice. They discover nothing. They understand nothing. And then they happily tell everybody what they don't know.
They're like dogs chasing the wheels of moving cars. Always doing the exact opposite of what it takes to learn/grow/be aware. 
Absolutely pathetic and tiring.",hey look government education theyre going help understand thing nobody else understands thats understand people love sound voice discover nothing understand nothing happily tell everybody dont know theyre like dog chasing wheel moving car always exact opposite take learngrowbe aware absolutely pathetic tiring,1.0
"If you take a quantity of water and break it into hydrogen and oxogen , the oxogen can latter react with other elements ,like iron becoming iron oxide. What happened to the information of the original quantity that was water?. Where is the information stored? For black holes the theory is that it is stored on a 2d surface.But in a lab there is no known medium for the information.",take quantity water break hydrogen oxogen oxogen latter react element like iron becoming iron oxide happened information original quantity water information stored black hole theory stored surfacebut lab known medium information,1.0
"That is wrong. Times stops not inside black hole, but far far far outsize of universe. Easy to prove. More mass, slower speed - more time. Less mass, faster speed - less time. Closer to blackhole you are more time you have. From distanse - it looks like it slows down and object closeer to blackhole freezing. But not because it has less time, because it has more space/time fabric.",wrong time stop inside black hole far far far outsize universe easy prove mass slower speed time less mass faster speed less time closer blackhole time distanse look like slows object closeer blackhole freezing less time spacetime fabric,1.0
good nwes,good nwes,1.0
"The empirical method is most reliable in finding truth in the physical world. It employs the logic of mathematics in finding most probable outcome given a controlled set of variables. Religions are not concerned with that, and often depend upon intuition, emotions and customs not dependent upon objective reality found in scientific endeavors like physics.
 
Given that it is generally understood in the scientific community that the universe came from a single massive event, to begin to understand where we came from, there must be a theory that has reliable, predictive ability,
 
There is always the unknown (or ""God of the gap""), like when questioning the origin of the initial mass; but that is not required in order to posit the question, ""Given initial conditions like a single mass (nothing can be simpler or more ordered the one), aka,, 'cosmic egg' or 'primal atom,' how did that initial mass (generally accepted as most probable by all of the scientific community) transform to become the universe seen today?""
 
Again, there is no 100% certainty. The closest to that is found in abstract math. In application there is always a uncertainty, like when counting apples,.
 
There are two most-probable, very basic answers to ""The Question,"" ie, top down cosmology OR bottom up cosmology-- both are incompatible with one another.
 
Given this, top down cosmology, when properly understood, is broad enough to predict everything so far seen. like that by the JWST, for example, while bottom up (Big Bang or Standard Model) cosmology must be constantly revised with ad hoc explanations every time there is a new finding, top down cosmology wins!
 
Top down is not properly understood, because it is commonly interpreted to mean that there are many realities caused by cascading events; but this is not the case, because everything seen and unseen remains causally connected by quantum entanglement.
 
""The universe is not locally real (Nobel Prize already awarded).""
 
Do not be deceived. Basic understanding of the universe comes before all else.
 
Religion or science? Choose!",empirical method reliable finding truth physical world employ logic mathematics finding probable outcome given controlled set variable religion concerned often depend upon intuition emotion custom dependent upon objective reality found scientific endeavor like physic given generally understood scientific community universe came single massive event begin understand came must theory reliable predictive ability always unknown god gap like questioning origin initial mass required order posit question given initial condition like single mass nothing simpler ordered one aka cosmic egg primal atom initial mass generally accepted probable scientific community transform become universe seen today certainty closest found abstract math application always uncertainty like counting apple two mostprobable basic answer question ie top cosmology bottom cosmology incompatible one another given top cosmology properly understood broad enough predict everything far seen like jwst example bottom big bang standard model cosmology must constantly revised ad hoc explanation every time new finding top cosmology win top properly understood commonly interpreted mean many reality caused cascading event case everything seen unseen remains causally connected quantum entanglement universe locally real nobel prize already awarded deceived basic understanding universe come else religion science choose,1.0
"In the blockchain of events framework, where we act as qubits of information in a self correcting code through inner.self and external validators, what is before the Big Bang is yet to happen, past and present act in superposition as regret (photon states), future and present as potential (wave state). Both stationary and time moving clocks. This is why it takes more time to reach our potentiality and outbursts are more immediate. Unless we are present in the present. In a way it acts like the three polarizer paradox where through reimanns R(s) = 1/2 (0/45/90) the present allows opportunities or gifts / challenges to mine and reward. As this zeta zeroes on the critical line of that wave of light going through as we observe the present. The Big Bang is fueled by inflationary repulsive, so regret is repulsive (negative gravity) real numbers/ entropy stored in the void / black hole Hawkins radiating and potential (imaginary number multiplying the negative gravity) is then positive, attracting us toward that progress. Photoelectric theory acts in voluntary exposure to fear (E=hf) as we increase the frequency not the intensity. Basically the world wants to go back to a state of order, pure ness like a new born baby and while inside we hold inner hurt childs that lacked or had failed caregivers or other external validators, but we have the potential to become those and individuate and entangle and heal. To then repair the mirror and emit light and so to also heal others. But at the same time we can travel to the past through pride and avoid the future too, this is why is important to be present with the gift of the present, full of wonders of the prime numbers that represent the archetypal egenstates. And should be time to do so.",blockchain event framework act qubits information self correcting code innerself external validators big bang yet happen past present act superposition regret photon state future present potential wave state stationary time moving clock take time reach potentiality outburst immediate unless present present way act like three polarizer paradox reimanns r present allows opportunity gift challenge mine reward zeta zero critical line wave light going observe present big bang fueled inflationary repulsive regret repulsive negative gravity real number entropy stored void black hole hawkins radiating potential imaginary number multiplying negative gravity positive attracting u toward progress photoelectric theory act voluntary exposure fear ehf increase frequency intensity basically world want go back state order pure ness like new born baby inside hold inner hurt child lacked failed caregiver external validators potential become individuate entangle heal repair mirror emit light also heal others time travel past pride avoid future important present gift present full wonder prime number represent archetypal egenstates time,1.0
Brian we love u from Canada  if we were doing math correctly we would know who and where god is 🇨🇦,brian love u canada math correctly would know god,1.0
