cleaned_comment,sentiment_score,sentiment
ive done thinking think black hole probably better describe journey thought got something anything falling black hole start speed faster faster faster speed light everything break apart force gravity falling faster faster faster speed light speed medium sucked hole particle split torn apart everything torn apart spaghettified simpler term loses meaning would imaging noodle noodle thing thing deeper everything get torn apart explosive energy maybe transmitted hawking radiation assume doesnt stop youre gon na fall distance horizon center describe core black hole infinitely far away youll never reach youll evaporate well belong get much muuuuuuuch horizon center cant explained normal physic think imagine interdimensionaly end get fabric space stretch faster speed light travel wave length stretched thin longer red light stretch quark gluon etc pulled apart exploded time meaning decay particle slow mear stop explosion little particle body torn apart slow mear stop traveling faster light relative medium stretching faster light travel perhaps maybe medium space time torn apart well quite paradoxical thinking know explosion dont decay particle dont care yet get torn apart thats little brain take could see inside black hole everything would curved back towards center tried look couldnt see could see point everything going center every direction light curved back towards center cant see anything light cant come back center every direction towards center perception light always curving back towards center unreachable like said brain go boom haha hope make sense ma black hole accumulated mass within even though particle may touch ever theyre torn apart towards center closer closer youll never reach hmm mind turning mush think like suspended try put hose running water poke hole tray water spiral towards hole due earth spin gravitation maybe magnetic field hole laminate flow fall faster flow pull apart droplet droplet pull apart due earth gravity faster air medium probably break apart smaller droplet allow droplet fall dyson ring fan full power compressed air blower venturi droplet split separated fine mist youll need particle accelerator speed high speed accomplish earth need go faster still muuuuuuuuuuch faaaaaaaaaaaaaaaasssttter accomplish earth interdimensionally faster brain gooey squishy,0.5556,positive
awesome,0.6249,positive
sadly science went brian became disciple global warming religion,-0.296,negative
time stop point view still see star fall black hole two black hole collide,-0.3612,negative
god behind mathematics,0.2732,positive
though dr cox great clear presenter still cant grasp concept fascinating,0.5927,positive
black hole solid mean made atom electron proton neutron crushed one thing touching,-0.296,negative
send black hole,0.0,neutral
keanu reef,0.0,neutral
thing black hole joker point multiband width detection device area space area dark call black holelol could space dust gas nebula etc evil black hole lurking waiting swallow galaxy good grief charlie brown time slow faster travel get spaceship fly planet light year away travel speed light here happens leave acceleration deceleration phase equation sake scenario would travel year outbound year back thats year folk pretty simple math come home therefore exactly year older magically friend family earth also year older aged year everyone back earth magically aged year like every b movie portrays maybe wrist watch ran faster ran slower zero gravity irrelevant travelled distance light year speed light take year full stop always always fact hereby declare discovered eluded einstein found one theory everything one equation thing universe must function physic calculus quantum conundrum must eventually solved adhere simple truth,0.6369,positive
catharsis stasis dictate arrow time terrible curse welcome boon,-0.5574,negative
therefore catharsis stasis mean information salvaged reclaimed,0.0,neutral
information reconstructed would possibility information arise first place information ever available must first information period would scope chance learning mutation unlearning energy caught pattern trapped locked information every form pattern etymology word information informed inform one thing one form meaning data example tadpole thing inform final form informed therefore deny packing locking tadpole period nature idea exploit quantum tunneling unweave intricate tapestry tadpole weave even intricate complicated tapestry fully fledged frog allowing ample room metamorphosis translation change basis vector negotiation renegotiation construction reconstruction mean form inform finally transform learning learning update informationcontinued learning possible impossible information put together one information everreforming information finally stasis learning curve plateau fitting unfit new learning cursed best fit omg tadpole dead end compounding stasis bludgeoning atrophy impending extinction lo behold come messiah saviour nature performs miracle purging castrol catharsis stasis releasing toxin energy caught trapped pattern locked matter time nature show way stupid god catharsis stasis exploiting quantum tunneling unlocking unpacking unweaving realising unlearning energy freedom sudden phenomenonal increase learning potential mutation potential learning possible mutation possible transformation possible tadpole metamorphosed transformed frog mutation evolution replayed jiddu krishnamurti put beautifully david bohm sir energy totally different quality new therefore thereby jiddu krishnamurti abolishes external agency stupid god,0.875,positive
repent,0.0,neutral
seems space time fundamental okay,0.2263,positive
bm framework massive black hole come star came natural consequence earlycycle curvature saturation cosmic lattice galaxy star existed compressioncurvature field already structured region lattice geometry reached maximum compression created king node stable ultradense curvature zone bm equivalent supermassive black hole seeded field harmonic left previous cycle snap point concentrated massfrequency certain zone baryonic corridor funnelling matter energy node even star condensed curvature saturation threshold crossed without need stellar collapse field geometry created well deep enough trap light later prestellar black hole acted anchor galaxy formation curvature field drew gas dust plasma igniting star formation around revers traditional sequence bm physic black hole make galaxy way around strength well never created nothing direct outcome field geometry storing focusing curvature since cycle began,0.9684,positive
