pair,count
"('one', 'person')",9
"('im', 'one')",15
"('im', 'person')",6
"('later', 'year')",4
"('exactly', 'year')",3
"('exactly', 'hard')",4
"('believe', 'cant')",3
"('believe', 'hard')",8
"('believe', 'thank')",3
"('believe', 'stay')",3
"('move', 'year')",3
"('move', 'whether')",4
"('hard', 'move')",5
"('move', 'thank')",6
"('cant', 'hard')",8
"('cant', 'thank')",4
"('whether', 'year')",4
"('hard', 'year')",8
"('thank', 'year')",5
"('stay', 'year')",3
"('hard', 'whether')",6
"('thank', 'whether')",4
"('stay', 'whether')",3
"('hard', 'thank')",17
"('hard', 'stay')",4
"('condition', 'hard')",4
"('stay', 'thank')",3
"('people', 'ted')",6
"('decision', 'people')",9
"('make', 'people')",16
"('idea', 'people')",3
"('choosing', 'people')",6
"('people', 'talk')",9
"('people', 'two')",5
"('hard', 'people')",14
"('decision', 'ted')",4
"('make', 'ted')",7
"('choosing', 'ted')",3
"('talk', 'ted')",37
"('hard', 'ted')",9
"('decision', 'make')",54
"('decision', 'idea')",5
"('choosing', 'decision')",7
"('decision', 'talk')",16
"('decision', 'using')",6
"('decision', 'two')",5
"('decision', 'hard')",37
"('idea', 'make')",6
"('choosing', 'make')",10
"('make', 'teach')",4
"('make', 'talk')",26
"('make', 'using')",6
"('make', 'two')",8
"('hard', 'make')",68
"('choosing', 'idea')",3
"('idea', 'talk')",4
"('hard', 'idea')",6
"('choosing', 'talk')",5
"('choosing', 'two')",7
"('choosing', 'hard')",11
"('talk', 'two')",5
"('hard', 'talk')",22
"('hard', 'using')",3
"('hard', 'two')",6
"('great', 'video')",10
"('life', 'think')",13
"('decision', 'think')",13
"('make', 'think')",20
"('im', 'think')",11
"('think', 'video')",10
"('good', 'think')",9
"('decision', 'life')",20
"('life', 'make')",33
"('entire', 'life')",3
"('im', 'life')",11
"('life', 'video')",13
"('good', 'life')",14
"('helpful', 'life')",3
"('advice', 'life')",3
"('decision', 'im')",15
"('decision', 'video')",16
"('decision', 'good')",12
"('advice', 'decision')",4
