pair,count
"('great', 'watch')",3
"('dna', 'host')",13
"('dna', 'question')",9
"('dna', 'use')",8
"('add', 'dna')",7
"('also', 'dna')",4
"('dna', 'instead')",4
"('dna', 'rna')",20
"('base', 'dna')",5
"('ca', 'dna')",16
"('dna', 'place')",4
"('dna', 'protein')",8
"('dna', 'first')",5
"('dna', 'insert')",10
"('add', 'host')",3
"('host', 'rna')",9
"('host', 'insert')",5
"('add', 'question')",3
"('ca', 'question')",6
"('protein', 'question')",4
"('first', 'question')",3
"('insert', 'question')",3
"('instead', 'use')",3
"('rna', 'use')",4
"('ca', 'use')",4
"('protein', 'use')",4
"('add', 'rna')",5
"('add', 'ca')",4
"('add', 'first')",3
"('add', 'insert')",3
"('also', 'ca')",3
"('also', 'protein')",3
"('also', 'insert')",3
"('ca', 'rna')",5
"('protein', 'rna')",6
"('insert', 'rna')",3
"('ca', 'place')",3
"('ca', 'protein')",15
"('ca', 'insert')",6
"('place', 'protein')",3
"('insert', 'protein')",3
"('sir', 'thank')",11
"('good', 'sir')",4
"('helped', 'thank')",18
"('helped', 'really')",11
"('presentation', 'thank')",6
"('really', 'thank')",26
"('good', 'thank')",8
"('good', 'really')",8
"('crispr', 'watched')",8
"('much', 'watched')",4
"('video', 'watched')",18
"('far', 'watched')",3
"('thank', 'watched')",8
"('enough', 'everything')",3
"('enough', 'video')",4
"('enough', 'thank')",4
"('crispr', 'much')",15
"('crispr', 'everything')",4
"('crispr', 'helped')",5
"('crispr', 'video')",55
"('crispr', 'far')",7
"('crispr', 'thank')",27
"('piece', 'video')",3
"('everything', 'much')",3
"('helped', 'much')",13
"('much', 'video')",43
"('far', 'much')",4
"('much', 'thank')",81
"('everything', 'video')",8
"('everything', 'thank')",8
"('detail', 'video')",7
"('helped', 'video')",19
"('together', 'video')",3
"('far', 'video')",10
"('thank', 'video')",90
"('far', 'thank')",5
"('could', 'used')",7
"('could', 'weapon')",3
"('could', 'good')",3
"('good', 'used')",6
"('love', 'video')",13
"('create', 'dont')",4
"('dont', 'use')",3
"('god', 'love')",4
"('great', 'video')",54
