pair,count
"('watch', 'well')",3
"('billion', 'light')",22
"('billion', 'money')",5
"('billion', 'year')",41
"('billion', 'could')",12
"('billion', 'used')",3
"('billion', 'dont')",9
"('billion', 'something')",14
"('billion', 'work')",5
"('billion', 'planet')",28
"('billion', 'like')",17
"('billion', 'waste')",4
"('billion', 'doesnt')",4
"('billion', 'people')",12
"('billion', 'help')",4
"('billion', 'want')",3
"('billion', 'know')",19
"('actually', 'billion')",5
"('billion', 'maybe')",8
"('billion', 'discovered')",4
"('billion', 'star')",38
"('billion', 'u')",14
"('light', 'supposedly')",4
"('light', 'money')",13
"('answer', 'light')",16
"('light', 'year')",152
"('light', 'simple')",15
"('check', 'light')",6
"('could', 'light')",199
"('light', 'used')",12
"('dont', 'light')",75
"('light', 'something')",90
"('light', 'work')",13
"('light', 'planet')",259
"('light', 'like')",138
"('light', 'waste')",5
"('doesnt', 'light')",33
"('light', 'people')",40
"('help', 'light')",7
"('light', 'want')",18
"('know', 'light')",94
"('actually', 'light')",27
"('light', 'using')",21
"('light', 'unless')",10
"('light', 'maybe')",76
"('discovered', 'light')",12
"('light', 'tabby')",15
"('light', 'star')",426
"('astronomy', 'light')",8
"('light', 'range')",5
"('light', 'u')",121
"('could', 'supposedly')",5
"('dont', 'supposedly')",5
"('planet', 'supposedly')",3
"('like', 'supposedly')",3
"('know', 'supposedly')",4
"('star', 'supposedly')",5
"('supposedly', 'u')",5
"('answer', 'money')",7
"('money', 'year')",17
"('could', 'money')",13
"('money', 'used')",3
"('dont', 'money')",10
"('money', 'something')",10
"('money', 'work')",5
"('money', 'planet')",18
"('like', 'money')",16
"('money', 'waste')",19
"('money', 'people')",17
"('help', 'money')",7
"('money', 'want')",8
"('know', 'money')",16
"('actually', 'money')",3
"('maybe', 'money')",5
"('money', 'star')",17
"('money', 'u')",20
"('answer', 'year')",4
"('answer', 'simple')",5
"('answer', 'check')",3
"('answer', 'could')",11
"('answer', 'used')",4
"('answer', 'dont')",11
"('answer', 'something')",10
"('answer', 'work')",3
"('answer', 'planet')",10
"('answer', 'like')",18
"('answer', 'people')",9
"('answer', 'help')",4
"('answer', 'want')",6
"('answer', 'know')",20
"('answer', 'using')",4
"('answer', 'maybe')",4
"('answer', 'star')",24
"('answer', 'astronomy')",3
"('answer', 'u')",12
"('simple', 'year')",8
"('check', 'year')",4
"('could', 'year')",65
"('used', 'year')",10
"('dont', 'year')",43
"('something', 'year')",43
"('work', 'year')",10
"('planet', 'year')",81
"('like', 'year')",69
"('waste', 'year')",8
"('doesnt', 'year')",19
"('people', 'year')",33
"('help', 'year')",6
"('want', 'year')",11
"('know', 'year')",58
"('actually', 'year')",16
"('using', 'year')",5
"('unless', 'year')",5
"('maybe', 'year')",35
"('discovered', 'year')",10
"('tabby', 'year')",9
"('star', 'year')",146
"('astronomy', 'year')",3
"('u', 'year')",72
"('could', 'simple')",16
"('dont', 'simple')",8
"('simple', 'something')",8
"('simple', 'work')",3
"('planet', 'simple')",18
"('like', 'simple')",7
"('doesnt', 'simple')",4
"('people', 'simple')",7
"('know', 'simple')",11
"('actually', 'simple')",3
"('simple', 'using')",5
"('maybe', 'simple')",5
"('discovered', 'simple')",3
"('simple', 'star')",36
