pair,count
"('dinosaur', 'earth')",5
"('age', 'dinosaur')",5
"('dinosaur', 'human')",4
"('dinosaur', 'hot')",3
"('climate', 'dinosaur')",6
"('dinosaur', 'ice')",3
"('change', 'dinosaur')",5
"('earth', 'natural')",22
"('age', 'natural')",10
"('human', 'natural')",26
"('natural', 'time')",16
"('get', 'natural')",6
"('cold', 'natural')",3
"('little', 'natural')",5
"('climate', 'natural')",42
"('ice', 'natural')",16
"('natural', 'understand')",3
"('natural', 'past')",4
"('already', 'natural')",5
"('know', 'natural')",12
"('natural', 'right')",6
"('end', 'natural')",6
"('natural', 'stop')",12
"('cycle', 'natural')",15
"('happened', 'natural')",5
"('natural', 'numerous')",3
"('change', 'natural')",37
"('natural', 'stupid')",4
"('age', 'earth')",22
"('earth', 'human')",53
"('earth', 'time')",51
"('earth', 'get')",29
"('cold', 'earth')",9
"('earth', 'little')",8
"('earth', 'hot')",14
"('climate', 'earth')",106
"('earth', 'guess')",5
"('earth', 'ice')",25
"('earth', 'understand')",3
"('arrogant', 'earth')",3
"('earth', 'happens')",6
"('earth', 'past')",9
"('already', 'earth')",19
"('earth', 'know')",30
"('earth', 'right')",13
"('earth', 'end')",24
"('earth', 'stop')",30
"('cycle', 'earth')",24
"('earth', 'happened')",5
"('earth', 'numerous')",3
"('change', 'earth')",83
"('earth', 'stupid')",3
"('age', 'human')",16
"('age', 'time')",20
"('age', 'get')",9
"('age', 'cold')",10
"('age', 'little')",11
"('age', 'hot')",8
"('age', 'climate')",37
"('age', 'ice')",70
"('age', 'understand')",3
"('age', 'happens')",3
"('age', 'past')",8
"('age', 'already')",6
"('age', 'know')",12
"('age', 'right')",5
"('age', 'end')",9
"('age', 'stop')",16
"('age', 'suggest')",3
"('age', 'cycle')",11
"('age', 'multiple')",3
"('age', 'explain')",3
"('age', 'happened')",4
"('age', 'change')",25
"('human', 'time')",29
"('get', 'human')",15
"('cold', 'human')",4
"('human', 'little')",8
"('hot', 'human')",5
"('climate', 'human')",78
"('human', 'ice')",18
"('human', 'understand')",4
"('human', 'permanent')",3
"('happens', 'human')",3
"('human', 'past')",7
"('already', 'human')",12
"('human', 'know')",16
"('human', 'right')",10
"('end', 'human')",14
"('human', 'stop')",22
"('human', 'suggest')",3
"('cycle', 'human')",18
"('happened', 'human')",5
"('human', 'numerous')",4
"('change', 'human')",67
"('human', 'stupid')",3
"('get', 'time')",25
"('cold', 'time')",9
"('little', 'time')",13
"('hot', 'time')",6
"('climate', 'time')",79
"('guess', 'time')",3
"('ice', 'time')",25
"('time', 'understand')",3
"('happens', 'time')",8
"('past', 'time')",13
"('already', 'time')",14
"('know', 'time')",27
"('right', 'time')",16
"('end', 'time')",20
"('stop', 'time')",25
"('suggest', 'time')",3
"('cycle', 'time')",10
"('multiple', 'time')",4
"('happened', 'time')",8
"('numerous', 'time')",4
"('change', 'time')",78
"('stupid', 'time')",3
"('cold', 'get')",8
"('get', 'little')",6
"('get', 'hot')",10
"('climate', 'get')",47
"('get', 'guess')",5
"('get', 'ice')",10
"('get', 'happens')",3
"('get', 'past')",5
"('already', 'get')",10
"('get', 'know')",18
"('get', 'right')",9
"('end', 'get')",8
"('get', 'stop')",16
"('cycle', 'get')",6
"('get', 'multiple')",3
"('get', 'happened')",4
"('change', 'get')",46
"('get', 'stupid')",4
"('cold', 'little')",6
"('cold', 'hot')",11
"('climate', 'cold')",17
"('cold', 'ice')",9
"('cold', 'past')",4
"('already', 'cold')",3
"('cold', 'know')",9
"('cold', 'right')",3
"('cold', 'end')",4
"('cold', 'stop')",7
"('cold', 'cycle')",5
"('cold', 'explain')",3
"('change', 'cold')",12
"('hot', 'little')",3
"('climate', 'little')",28
"('ice', 'little')",12
"('little', 'understand')",3
"('little', 'past')",4
"('already', 'little')",6
"('know', 'little')",9
"('little', 'right')",4
"('end', 'little')",7
"('little', 'stop')",7
"('cycle', 'little')",3
"('explain', 'little')",3
"('change', 'little')",22
"('little', 'stupid')",3
"('climate', 'hot')",12
"('hot', 'ice')",8
"('already', 'hot')",3
"('hot', 'know')",5
"('hot', 'right')",3
"('end', 'hot')",4
"('hot', 'stop')",7
"('cycle', 'hot')",5
"('change', 'hot')",11
"('climate', 'guess')",6
"('climate', 'ice')",47
"('climate', 'understand')",9
"('climate', 'permanent')",3
"('arrogant', 'climate')",3
"('climate', 'happens')",12
"('climate', 'past')",18
"('already', 'climate')",26
"('climate', 'know')",45
"('climate', 'right')",23
"('climate', 'end')",31
"('climate', 'stop')",56
"('climate', 'cycle')",31
"('climate', 'multiple')",5
"('climate', 'happened')",9
"('climate', 'numerous')",5
"('change', 'climate')",430
