pair,count
"('better', 'never')",4
"('better', 'much')",6
"('anything', 'better')",3
"('better', 'full')",3
"('better', 'still')",4
"('better', 'ive')",3
"('better', 'something')",6
"('better', 'doesnt')",4
"('better', 'hole')",12
"('better', 'point')",4
"('better', 'every')",4
"('better', 'even')",4
"('better', 'energy')",4
"('better', 'could')",4
"('better', 'dont')",7
"('better', 'take')",6
"('better', 'like')",7
"('better', 'going')",4
"('always', 'better')",3
"('better', 'light')",3
"('better', 'get')",6
"('better', 'thats')",3
"('better', 'see')",5
"('better', 'maybe')",5
"('better', 'black')",15
"('better', 'cant')",3
"('better', 'make')",7
"('better', 'direction')",3
"('better', 'everything')",5
"('better', 'space')",3
"('better', 'time')",7
"('better', 'well')",6
"('better', 'mind')",3
"('better', 'put')",3
"('better', 'think')",5
"('better', 'probably')",3
"('better', 'thing')",6
"('better', 'know')",9
"('better', 'end')",4
"('better', 'would')",7
"('better', 'gravity')",3
"('better', 'got')",3
"('better', 'need')",5
"('better', 'youre')",4
"('much', 'never')",7
"('anything', 'never')",11
"('never', 'though')",6
"('full', 'never')",4
"('never', 'still')",6
"('never', 'term')",5
"('deeper', 'never')",4
"('ive', 'never')",11
"('never', 'water')",4
"('air', 'never')",3
"('inside', 'never')",6
"('come', 'never')",11
"('never', 'something')",14
"('falling', 'never')",3
"('doesnt', 'never')",7
"('never', 'speed')",8
"('never', 'try')",6
"('never', 'towards')",4
"('never', 'normal')",3
"('hole', 'never')",65
"('never', 'within')",4
"('never', 'point')",10
"('never', 'smaller')",3
"('far', 'never')",5
"('go', 'never')",19
"('never', 'youll')",3
"('never', 'sucked')",4
"('every', 'never')",11
"('never', 'particle')",16
"('imagine', 'never')",8
"('even', 'never')",21
"('energy', 'never')",17
"('explained', 'never')",5
"('could', 'never')",18
"('never', 'stretch')",3
"('dont', 'never')",20
"('never', 'take')",8
"('distance', 'never')",3
"('like', 'never')",30
"('horizon', 'never')",8
"('field', 'never')",9
"('never', 'stop')",4
"('describe', 'never')",4
"('never', 'perhaps')",5
"('loses', 'never')",3
"('hawking', 'never')",8
"('going', 'never')",10
"('fabric', 'never')",4
"('never', 'relative')",4
"('always', 'never')",12
"('earth', 'never')",9
"('light', 'never')",20
"('get', 'never')",15
"('never', 'quite')",4
"('never', 'theyre')",3
"('never', 'start')",6
"('center', 'never')",8
"('never', 'traveling')",3
"('allow', 'never')",3
"('never', 'thought')",8
"('core', 'never')",5
"('never', 'thats')",10
"('never', 'separated')",4
"('never', 'see')",20
"('maybe', 'never')",13
"('apart', 'never')",4
"('black', 'never')",64
"('cant', 'never')",9
"('away', 'never')",8
"('force', 'never')",6
"('make', 'never')",17
"('never', 'slow')",6
"('never', 'physic')",9
"('never', 'simpler')",3
"('mass', 'never')",13
"('fall', 'never')",6
"('flow', 'never')",6
"('everything', 'never')",10
"('never', 'radiation')",10
"('never', 'space')",20
"('never', 'time')",42
"('never', 'yet')",12
"('never', 'sense')",8
"('due', 'never')",8
"('explosion', 'never')",3
"('back', 'never')",13
"('never', 'well')",10
"('mind', 'never')",5
"('never', 'put')",6
"('never', 'said')",8
"('never', 'reach')",7
"('never', 'think')",13
"('never', 'probably')",5
"('never', 'thing')",21
"('ever', 'never')",13
"('know', 'never')",32
"('look', 'never')",9
"('end', 'never')",10
"('never', 'would')",22
"('faster', 'never')",3
"('gravity', 'never')",16
"('got', 'never')",3
"('high', 'never')",4
"('meaning', 'never')",3
"('need', 'never')",8
"('never', 'wave')",6
"('may', 'never')",6
"('never', 'youre')",4
"('brain', 'never')",4
"('anything', 'much')",6
"('much', 'though')",4
"('full', 'much')",3
"('much', 'still')",9
"('much', 'pull')",6
"('deeper', 'much')",4
"('little', 'much')",4
"('ive', 'much')",6
"('inside', 'much')",5
"('come', 'much')",7
"('much', 'something')",15
"('doesnt', 'much')",5
"('much', 'speed')",4
"('much', 'try')",3
"('much', 'normal')",3
"('hole', 'much')",33
"('much', 'within')",6
"('much', 'point')",4
"('far', 'much')",4
"('go', 'much')",8
"('much', 'sucked')",6
"('every', 'much')",9
"('much', 'particle')",9
"('imagine', 'much')",4
"('even', 'much')",14
"('energy', 'much')",9
"('explained', 'much')",4
"('could', 'much')",12
"('dont', 'much')",17
"('much', 'take')",9
"('like', 'much')",21
"('horizon', 'much')",6
"('field', 'much')",6
"('much', 'stop')",6
"('describe', 'much')",3
"('much', 'perhaps')",3
"('much', 'thinking')",3
"('done', 'much')",3
"('hawking', 'much')",4
"('going', 'much')",4
"('fabric', 'much')",3
"('always', 'much')",8
"('earth', 'much')",9
"('light', 'much')",7
"('longer', 'much')",4
"('get', 'much')",14
"('much', 'stretched')",4
"('center', 'much')",4
"('much', 'thought')",6
"('much', 'thats')",5
"('much', 'see')",12
"('maybe', 'much')",5
"('apart', 'much')",3
"('much', 'perception')",3
"('black', 'much')",32
"('cant', 'much')",12
"('away', 'much')",6
"('force', 'much')",8
"('make', 'much')",8
"('much', 'physic')",6
"('direction', 'much')",7
"('mass', 'much')",12
"('fall', 'much')",6
"('flow', 'much')",3
"('everything', 'much')",13
"('much', 'radiation')",6
"('much', 'space')",17
"('much', 'time')",25
"('much', 'yet')",5
"('much', 'sense')",5
"('due', 'much')",5
"('back', 'much')",11
"('much', 'well')",8
"('mind', 'much')",4
"('much', 'put')",6
"('much', 'said')",3
"('much', 'reach')",3
"('much', 'think')",11
"('much', 'probably')",3
"('much', 'thing')",17
"('ever', 'much')",5
"('much', 'travel')",4
"('know', 'much')",15
"('infinitely', 'much')",3
"('look', 'much')",6
"('end', 'much')",10
"('much', 'would')",15
"('gravity', 'much')",11
"('got', 'much')",3
"('high', 'much')",6
"('much', 'need')",3
"('much', 'wave')",3
"('may', 'much')",4
"('anything', 'though')",3
"('anything', 'full')",3
"('anything', 'still')",13
"('anything', 'pull')",3
"('anything', 'term')",4
"('anything', 'ive')",5
"('anything', 'inside')",10
"('anything', 'come')",9
"('anything', 'something')",4
"('anything', 'falling')",3
"('anything', 'medium')",3
"('anything', 'doesnt')",7
"('anything', 'speed')",3
"('anything', 'try')",3
"('anything', 'normal')",4
"('anything', 'hole')",35
"('anything', 'point')",4
"('anything', 'go')",5
"('anything', 'every')",7
"('anything', 'particle')",12
"('anything', 'imagine')",3
"('anything', 'even')",12
"('anything', 'energy')",9
"('anything', 'could')",10
"('anything', 'dont')",16
"('anything', 'take')",7
"('anything', 'like')",19
"('anything', 'horizon')",7
"('anything', 'stop')",5
"('anything', 'thinking')",3
"('anything', 'hawking')",4
"('anything', 'going')",7
"('anything', 'etc')",3
"('always', 'anything')",7
"('anything', 'light')",9
"('anything', 'get')",9
"('anything', 'quite')",4
