pair,count
"('dna', 'rna')",3
"('also', 'question')",3
"('also', 'instead')",3
"('also', 'first')",3
"('first', 'place')",3
"('good', 'sir')",3
"('helped', 'thank')",7
"('helped', 'really')",5
"('really', 'thank')",5
"('good', 'really')",3
"('people', 'stop')",3
"('video', 'watched')",5
"('thank', 'watched')",3
"('crispr', 'everything')",3
"('crispr', 'video')",5
"('crispr', 'thank')",4
"('helped', 'much')",5
"('much', 'video')",8
"('much', 'together')",3
"('much', 'thank')",14
"('everything', 'video')",3
"('everything', 'far')",3
"('helped', 'video')",7
"('thank', 'video')",14
"('bad', 'could')",3
"('could', 'guess')",3
"('could', 'used')",7
"('could', 'good')",4
"('good', 'used')",4
"('love', 'video')",4
"('create', 'dont')",6
"('dont', 'population')",4
"('dont', 'hope')",4
"('hope', 'use')",3
"('dont', 'use')",5
"('god', 'love')",4
"('great', 'video')",6
"('always', 'need')",3
"('always', 'come')",6
"('always', 'back')",4
"('always', 'video')",3
"('come', 'need')",3
"('back', 'need')",6
"('need', 'thank')",3
"('back', 'come')",8
"('come', 'video')",4
"('come', 'thank')",3
"('back', 'video')",4
"('back', 'thank')",3
"('medical', 'student')",3
"('still', 'student')",3
"('student', 'video')",6
"('student', 'year')",5
"('student', 'thank')",3
"('back', 'help')",3
"('help', 'video')",3
"('major', 'still')",3
"('come', 'every')",9
"('come', 'still')",3
"('come', 'year')",5
"('back', 'every')",6
"('back', 'much')",3
"('back', 'still')",3
"('back', 'year')",9
"('every', 'much')",5
"('every', 'still')",4
"('every', 'year')",6
"('every', 'thank')",3
"('much', 'still')",4
"('much', 'year')",4
"('still', 'video')",3
"('still', 'year')",4
"('video', 'year')",6
"('thank', 'year')",5
"('done', 'like')",4
"('tell', 'used')",3
"('like', 'tell')",7
"('like', 'though')",6
"('like', 'used')",6
"('like', 'someone')",4
"('god', 'life')",4
"('hope', 'life')",4
"('life', 'never')",4
"('future', 'life')",4
"('life', 'take')",7
"('life', 'video')",7
"('life', 'year')",8
"('life', 'love')",4
"('later', 'year')",6
"('god', 'never')",3
"('explanation', 'never')",3
"('degree', 'year')",3
"('hope', 'never')",3
"('hope', 'take')",4
"('hope', 'video')",3
"('hope', 'year')",3
"('never', 'take')",4
"('never', 'video')",4
"('never', 'year')",3
"('future', 'take')",3
"('future', 'year')",3
"('take', 'video')",4
"('take', 'year')",6
"('love', 'take')",3
"('please', 'video')",5
"('continue', 'year')",3
"('love', 'year')",4
"('explanation', 'great')",3
"('mistake', 'think')",3
"('good', 'think')",3
"('crispr', 'gene')",3
